"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Engagement Manager","Engagement_Manager_CB__c","",True,"reference",False,1021033,99,0.009696062712958347
"Account","Account","Program Services Revenue","Program_Services_Revenue__c","",True,"double",False,1021033,6050,0.592537165791899
"Account","Account","Customer Information System (CIS)","Customer_Information_System_CIS__c","",True,"string",False,1021033,62,0.00607228169902442
"Account","Account","Subsidiary","Subsidiary__c","",True,"picklist",False,1021033,4625,0.452972626741741
"Account","Account","Hosting Solution","Hosting_Solution__c","",True,"picklist",False,1021033,164,0.016062164494193627
"Account","Account","License Model","License_Model__c","",True,"picklist",False,1021033,587,0.05749079608592474
"Account","Account","CSM - Grants","Customer_Success_Mgr_eCivis__c","",True,"reference",False,1021033,318,0.031144928714351056
"Account","Account","Total ARR","Total_ARR__c","",True,"currency",True,1021033,1021033,100.0
"Account","Account","Budget Date","Budget_Date_eCivis__c","",True,"date",False,1021033,525,0.05141851438690032
"Account","Account","x_Industry (eCivis)","Industry_eCivis__c","",True,"picklist",False,1021033,1642,0.16081752499674348
"Account","Account","x_Industry Field Lookup","Industry_Field_Lookup_eCivis__c","",True,"string",True,1021033,1642,0.16081752499674348
"Account","Account","x_Vertical Market","Vertical_Market_eCivis__c","",True,"string",True,1021033,1424,0.1394665990227544
"Account","Account","Current","Current_eCivis__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Former","Former_eCivis__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Client Age","Client_Age_eCivis__c","",True,"date",False,1021033,420,0.04113481150952026
"Account","Account","ZoomInfo First Updated","DOZISF__ZoomInfo_First_Updated__c","DOZISF",True,"datetime",False,1021033,4261,0.4173224567668234
"Account","Account","ZoomInfo Company ID","DOZISF__ZoomInfo_Id__c","DOZISF",True,"string",False,1021033,4484,0.4391630828778306
"Account","Account","ZoomInfo Last Updated","DOZISF__ZoomInfo_Last_Updated__c","DOZISF",True,"datetime",False,1021033,4261,0.4173224567668234
"Account","Account","Value Perception","Value_Perception__c","",True,"picklist",False,1021033,46,0.004505241260566505
"Account","Account","Contact Frequency","Contact_Frequency__c","",True,"picklist",False,1021033,46,0.004505241260566505
"Account","Account","GTYCrossSellFlag","GTYCrossSellFlag__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Sponsor Identification","Sponsor_Identification__c","",True,"picklist",False,1021033,46,0.004505241260566505
"Account","Account","Renewal Risk","Renewal_Risk__c","",True,"picklist",False,1021033,46,0.004505241260566505
"Account","Account","Overall Health Score","Overall_Health_Score__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","Overall Health","Overall_Health__c","",True,"picklist",False,1021033,74,0.0072475620278678555
"Account","Account","Target Budgeting System","Target_Budgeting_System__c","",True,"picklist",False,1021033,595,0.05827431630515371
"Account","Account","Confluence Page URL","Confluence_Page_URL__c","",True,"url",False,1021033,0,0.0
"Account","Account","Payment Processor","Payment_Processor__c","",True,"textarea",False,1021033,0,0.0
"Account","Account","Account ID 18 Digit","Account_ID_18_Digit__c","",True,"string",True,1021033,1021033,100.0
"Account","Account","Marketing Paused Until:","MarketingPausedUntilDate__c","",True,"date",False,1021033,237,0.02321178649465786
"Account","Account","CityBase BDR","CityBase_BDR__c","",True,"reference",False,1021033,599,0.058666076414768176
"Account","Account","Payments Open Opportunities","Number_of_Open_Opps_CB__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","CityBase CSM","CityBase_CSM__c","",True,"reference",False,1021033,63,0.006170221726428039
"Account","Account","Notes","Notes_eCivis__c","",True,"textarea",False,1021033,62,0.00607228169902442
"Account","Account","I am CityBase CSM","CB_I_am_CityBase_CSM__c","",True,"boolean",True,1021033,1021033,100.0
"Account","Account","I am CityBase BDR","I_am_CityBase_BDR__c","",True,"boolean",True,1021033,1021033,100.0
"Account","Account","Account (PO1)","Account_PO1__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","Currency Test","rh2__testCurrency__c","rh2",True,"currency",False,1021033,1109,0.10861549039061422
"Account","Account","ARR - IonWave","ARR_IonWave__c","",True,"currency",False,1021033,365,0.03574811000232118
"Account","Account","Number of Open Bonfire Renewals","Number_of_Bonfire_Renewals__c","",True,"double",True,1021033,1021033,100.0
"Account","Account","I am CityBase AE","I_am_CityBase_AE__c","",True,"boolean",True,1021033,1021033,100.0
"Account","Account","County","County__c","",True,"string",False,1021033,140997,13.809250043828161
"Account","Account","ZoomInfo Enrich Status","DOZISF__ZoomInfo_Enrich_Status__c","DOZISF",True,"picklist",False,1021033,0,0.0
"Account","Account","ZoomInfo InboxAI ID","DOZISF__ZoomInfo_InboxAI_ID__c","DOZISF",True,"string",False,1021033,0,0.0
"Account","Account","Active Account","SalesLoft1__Active_Account__c","SalesLoft1",True,"double",True,1021033,1021033,100.0
"Account","Account","SalesLoft Domain","SalesLoft1__SalesLoft_Domain__c","SalesLoft1",True,"string",True,1021033,1021033,100.0
